Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9055555555555556,0.8095238095238095,0.5666666666666667,0.6666666666666666,0.9133333333333333
Random Forest,0.8666666666666667,0.6666666666666666,0.4,0.5,0.8898888888888888
